timestamp,epoch,train_loss,val_loss,val_accuracy
2026-09-22 09:25:11,0,0.8767982984290403,1.1302635749181111,0.38333333333333336
2026-09-22 09:25:20,1,0.7186915979665869,0.9254045565923055,0.5833333333333334
2026-09-22 09:25:28,2,0.6467758522314184,0.9396114826202393,0.6
2026-09-22 09:25:37,3,0.6028220890199437,0.8380871852238972,0.65
2026-09-22 09:25:46,4,0.5716002758811501,0.7667912165323894,0.6833333333333333
2026-09-22 09:25:54,5,0.5547372356933706,0.778576405843099,0.7
2026-09-22 09:26:03,6,0.5203099373508903,0.7926821708679199,0.6166666666666667
2026-09-22 09:26:11,7,0.507894234622226,0.9645284573237102,0.5333333333333333
2026-09-22 09:26:20,8,0.48993081643300895,0.7649198532104492,0.6333333333333333
2026-09-22 09:26:29,9,0.4692445861942628,0.7638053973515828,0.6666666666666666
2026-09-22 09:26:37,10,0.47329724623876457,0.7084850867589315,0.7
2026-09-22 09:26:46,11,0.4577949388938792,0.7528760115305583,0.7
2026-09-22 09:26:55,12,0.43955303115003247,0.7120448033014933,0.6833333333333333
2026-09-22 09:27:03,13,0.4386658589629566,0.6320262511571249,0.75
2026-09-22 09:27:12,14,0.41148730016806545,0.6249031146367391,0.6666666666666666
2026-09-22 09:27:21,15,0.3988327769672169,0.6897500356038412,0.7
2026-09-22 09:27:29,16,0.4114127316895653,0.5965656280517578,0.75
2026-09-22 09:27:38,17,0.39758067446596485,0.6480920712153116,0.6333333333333333
2026-09-22 09:27:47,18,0.3726028572110569,0.6222907225290935,0.75
2026-09-22 09:27:55,19,0.3606511573581135,0.5201079607009887,0.75
2026-09-22 09:28:04,20,0.36211788873462114,0.5252431750297546,0.7666666666666667
2026-09-22 09:28:13,21,0.35435354972586913,0.5680827697118124,0.7666666666666667
2026-09-22 09:28:21,22,0.3388172861407785,0.612694505850474,0.7333333333333333
2026-09-22 09:28:30,23,0.3379276833113502,0.5390142440795899,0.75
2026-09-22 09:28:38,24,0.3158150775467648,0.5105675299962361,0.75
2026-09-22 09:28:47,25,0.3147877095376744,0.6220978021621704,0.6666666666666666
2026-09-22 09:28:56,26,0.3289247255991487,0.48626366853713987,0.75
2026-09-22 09:29:04,27,0.3262534628019613,0.6583557049433391,0.6833333333333333
2026-09-22 09:29:13,28,0.31765563566895094,0.4665091633796692,0.7833333333333333
2026-09-22 09:29:22,29,0.2961741203770918,0.4849015673001607,0.7166666666666667
2026-09-22 09:29:30,30,0.3017926345414975,0.5721680204073588,0.7166666666666667
2026-09-22 09:29:39,31,0.2986252215855262,0.5849834640820821,0.7166666666666667
2026-09-22 09:29:48,32,0.2804265083635555,0.45812419255574544,0.8
2026-09-22 09:29:56,33,0.28711827669073553,0.44637762308120726,0.7666666666666667
2026-09-22 09:30:05,34,0.25936487141777487,0.5166153748830159,0.75
2026-09-22 09:30:14,35,0.26889515974942374,0.4528197924296061,0.7666666666666667
2026-09-22 09:30:22,36,0.2919307004879503,0.4009387731552124,0.85
2026-09-22 09:30:31,37,0.2714226267793599,0.41201672156651814,0.7833333333333333
2026-09-22 09:30:40,38,0.2611619365565917,0.515702752272288,0.7666666666666667
2026-09-22 09:30:48,39,0.24274843624409506,0.5140926321347554,0.7666666666666667
2026-09-22 09:30:57,40,0.24191120639443398,0.4084530035654704,0.8
2026-09-22 09:31:06,41,0.24256147575729034,0.4039724787076314,0.7833333333333333
2026-09-22 09:31:14,42,0.25829585028045315,0.5115929881731669,0.7333333333333333
2026-09-22 09:31:23,43,0.24447650615783298,0.44293989340464274,0.8333333333333334
2026-09-22 09:31:32,44,0.23525035140268943,0.47473891178766886,0.7333333333333333
2026-09-22 09:31:40,45,0.23490861189716003,0.3922671675682068,0.8333333333333334
2026-09-22 09:31:49,46,0.22076020061093218,0.3778218626976013,0.8333333333333334
2026-09-22 09:31:58,47,0.21748204091015985,0.37304351329803465,0.8833333333333333
2026-09-22 09:32:06,48,0.22220435563255758,0.48611578543980916,0.75
2026-09-22 09:32:15,49,0.21211845931761406,0.4243523160616557,0.7833333333333333
